ttb_id,file_name,brand_name,fanciful_name,class_type,origin,net_contents,abv,warning_present,expected_result,defect_type,source_url,notes
03211001000018,03211001000018.pdf,CASCADE WINERY,CASCADE VAL,TABLE RED WINE,MICHIGAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=03211001000018,status SURRENDERED
03235001000006,03235001000006.pdf,CASCADE WINERY,Type of Application:    LABEL APPROVAL,TABLE RED WINE,MICHIGAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=03235001000006,status SURRENDERED
06090001000048,06090001000048.pdf,ECSTASY,Type of Application:    LABEL APPROVAL,OTHER SPECIALTIES & PROPRIETARIES,IDAHO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=06090001000048,status SURRENDERED
09079001000202,09079001000202.pdf,TOMASELLO WINERY,Type of Application:    LABEL APPROVAL,SPARKLING WINE/CHAMPAGNE,NEW JERSEY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=09079001000202,status SURRENDERED
10363001000317,10363001000317.pdf,LENZ MOSER,Type of Application:    LABEL APPROVAL,TABLE WHITE WINE,AUSTRIA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=10363001000317,status SURRENDERED
11024001000092,11024001000092.pdf,LENZ MOSER FETE,Type of Application:    LABEL APPROVAL,TABLE RED WINE,AUSTRIA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=11024001000092,status SURRENDERED
11038001000659,11038001000659.pdf,SEVEN FATHOMS,Type of Application:    LABEL APPROVAL,OTHER RUM GOLD FB,CAYMAN ISLANDS,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=11038001000659,status SURRENDERED
11038001000725,11038001000725.pdf,BARENJAGER,Type of Application:    LABEL APPROVAL,OTHER HERB & SEED CORDIALS/LIQUEURS,GERMANY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=11038001000725,status SURRENDERED
11038001000727,11038001000727.pdf,BARENJAGER,Type of Application:    LABEL APPROVAL,OTHER HERB & SEED CORDIALS/LIQUEURS,GERMANY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=11038001000727,status SURRENDERED
11054001000049,11054001000049.pdf,LENZ MOSER,Type of Application:    LABEL APPROVAL,TABLE RED WINE,AUSTRIA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=11054001000049,status SURRENDERED
